"","Üniversite.Adı","Engel.Türü","Üniversite.Türü","İl.Adı","Erkek","Kadın","yil"
"1","ABDULLAH GÜL ÜNİVERSİTESİ","FİZİKSEL
  ENGELLİLER","DEVLET","KAYSERİ",1,0,"2013"
"2","ADIYAMAN ÜNİVERSİTESİ","DİĞER","DEVLET","ADIYAMAN",35,18,"2013"
"3","ADIYAMAN ÜNİVERSİTESİ","FİZİKSEL
  ENGELLİLER","DEVLET","ADIYAMAN",10,6,"2013"
"4","ADIYAMAN ÜNİVERSİTESİ","GÖRME ENGELLİLER","DEVLET","ADIYAMAN",9,2,"2013"
"5","ADIYAMAN ÜNİVERSİTESİ","İŞİTME
  ENGELLİLER","DEVLET","ADIYAMAN",4,7,"2013"
"6","ADNAN MENDERES ÜNİVERSİTESİ","DİĞER","DEVLET","AYDIN",3,2,"2013"
"7","ADNAN MENDERES ÜNİVERSİTESİ","DİL VE KONUŞMA PROBLEMLİLER","DEVLET","AYDIN",1,0,"2013"
"8","ADNAN MENDERES ÜNİVERSİTESİ","FİZİKSEL
  ENGELLİLER","DEVLET","AYDIN",4,5,"2013"
"9","ADNAN MENDERES ÜNİVERSİTESİ","GEÇİCİ
  YETERSİZLİKLERİ OLANLAR","DEVLET","AYDIN",2,0,"2013"
"10","ADNAN MENDERES ÜNİVERSİTESİ","GÖRME ENGELLİLER","DEVLET","AYDIN",9,2,"2013"
"11","ADNAN MENDERES ÜNİVERSİTESİ","İŞİTME
  ENGELLİLER","DEVLET","AYDIN",1,3,"2013"
"12","ADNAN MENDERES ÜNİVERSİTESİ","KRONİK
  SAĞLIK SORUNLARI","DEVLET","AYDIN",1,1,"2013"
"13","ADNAN MENDERES ÜNİVERSİTESİ","PSİKOLOJİK
  PROBLEMLİLER","DEVLET","AYDIN",0,1,"2013"
"14","ADNAN MENDERES ÜNİVERSİTESİ","ZİHİNSEL ENGELLİLER","DEVLET","AYDIN",0,2,"2013"
"15","AĞRI İBRAHİM ÇEÇEN ÜNİVERSİTESİ","FİZİKSEL
  ENGELLİLER","DEVLET","AĞRI",2,1,"2013"
"16","AĞRI İBRAHİM ÇEÇEN ÜNİVERSİTESİ","GÖRME ENGELLİLER","DEVLET","AĞRI",1,0,"2013"
